ID,Tipo,Enunciado_terminal,Fuente,Articulo,Objetivo,Stakeholder,Evidencias,CU,HU,CA,Componente,Mockups,MoSCoW,Kano,Estado_requisito,Estado_MVP
RF-01,RF,El sistema deberá permitir iniciar y cerrar sesión mediante credenciales individuales no biométricas.,LOPDP,Art. 10,Garantizar tratamiento lícito y minimización de datos,Personal autorizado,EV-ENTR02-07,CU-01,HU-01,CA-01,Seguridad,MU-01,Must,Básico,ESPECIFICADO,IMPLEMENTADO
RF-02,RF,"El sistema deberá autorizar cada operación según el rol Administrador, Recepción o Instructor y denegar por defecto las no asignadas.",LOPDP,Art. 20,Controlar acceso por roles y permisos,Administrador,EV-ENTR02-07;EV-ENTR03-06;EV-ENTR08-04,CU-02,HU-02,CA-02,Seguridad,MU-22;MU-32,Must,Básico,ESPECIFICADO,IMPLEMENTADO
RF-03,RF,"El sistema deberá registrar autor, fecha, acción y valores anterior/nuevo para pagos, precios, inventario, membresías y permisos.",LOPDP,Art. 24,Asegurar trazabilidad de eventos críticos,Administrador,EV-ENTR02-04;EV-ENTR02-07;EV-ENTR03-06,,,CA-N/A,Auditoría,MU-25,Should,Desempeño,ESPECIFICADO,NO_APLICA
RF-04,RF,"El sistema deberá registrar un cliente con código interno, nombre de uso y un medio de contacto, sin salud, biometría, dirección ni imagen corporal.",Civil/Operación,Art. N/A,Registrar datos mínimos de cliente,Recepción,EV-ENTR01-02;EV-ENTR02-02;EV-ENTR03-02;EV-ENTR08-01,CU-03,HU-03,CA-03,Clientes,MU-12;MU-37,Must,Desempeño,ESPECIFICADO,IMPLEMENTADO
RF-05,RF,"El sistema deberá buscar clientes por código, nombre normalizado o contacto y mostrar membresía, último pago, asistencia y novedades según permisos.",Civil/Operación,Art. N/A,Consultar ficha de cliente,Recepción,EV-ENTR02-03;EV-ENTR02-08;EV-ENTR08-05,CU-04,HU-04,CA-04,Clientes,MU-11;MU-36,Must,Desempeño,ESPECIFICADO,IMPLEMENTADO
RF-06,RF,El sistema deberá actualizar o reactivar un registro existente y advertir coincidencias antes de crear otro cliente.,Civil/Operación,Art. N/A,Actualizar y reactivar cliente,Recepción,EV-ENTR02-02;EV-ENTR03-02;EV-ENTR04-01;EV-ENTR05-02,CU-05,HU-05,CA-05,Clientes,MU-11;MU-36,Must,Desempeño,ESPECIFICADO,IMPLEMENTADO
RF-07,RF,"El sistema deberá administrar nombre, duración, precio, vigencia y estado de planes y promociones.",Operación,Art. N/A,Configurar catálogo de planes,Administrador,EV-ENTR02-01;EV-ENTR04-01,CU-06,HU-06,CA-06,Membresías,MU-68,Must,Desempeño,ESPECIFICADO,IMPLEMENTADO
RF-08,RF,El sistema deberá activar o renovar una membresía calculando inicio y vencimiento desde un plan vigente y un pago confirmado.,Operación,Art. N/A,Activar y renovar membresía,Recepción,EV-ENTR01-02;EV-ENTR02-04;EV-ENTR03-01;EV-ENTR04-03,CU-07,HU-07,CA-07,Membresías,MU-14;MU-39,Must,Básico,ESPECIFICADO,IMPLEMENTADO
RF-09,RF,"El sistema deberá mostrar estado, plan, fecha de inicio y vencimiento de la membresía.",Operación,Art. N/A,Consultar vigencia,Personal autorizado,EV-ENTR01-03;EV-ENTR02-03;EV-ENTR03-03;EV-ENTR08-02,CU-08,HU-08,CA-08,Membresías,MU-13;MU-38;MU-63(F),Must,Básico,ESPECIFICADO,IMPLEMENTADO
RF-10,RF,"El sistema deberá listar diariamente membresías que vencen en los próximos tres días y las vencidas, sin enviar mensajes externos automáticamente.",Operación,Art. N/A,Alertar vencimientos,Recepción,EV-ENTR01-03;EV-ENTR05-02;EV-ENTR07-02,CU-09,HU-09,CA-09,Membresías,MU-10;MU-13;MU-38,Must,Desempeño,ESPECIFICADO,IMPLEMENTADO
RF-11,RF,"El sistema deberá registrar monto, concepto, medio, referencia y fecha de un pago, y generar un comprobante interno.",Operación,Art. N/A,Registrar pago y comprobante,Recepción,EV-ENTR01-02;EV-ENTR02-04;EV-ENTR03-04;EV-ENTR07-02;EV-ENTR08-03,CU-10,HU-10,CA-10,Pagos,MU-15;MU-16;MU-40;MU-41,Must,Básico,ESPECIFICADO,IMPLEMENTADO
RF-12,RF,"El sistema deberá permitir confirmar, rechazar o corregir un pago pendiente conservando motivo y auditoría.",Operación,Art. N/A,Resolver pagos pendientes,Administrador,EV-ENTR02-04;EV-ENTR03-04;EV-ENTR07-07,,,CA-N/A,Pagos,MU-15;MU-40,Should,Desempeño,ESPECIFICADO,NO_APLICA
RF-13,RF,"El sistema deberá registrar una asistencia no biométrica en una acción tras validar identidad operativa y vigencia, o documentar una excepción autorizada.",Operación,Art. N/A,Registrar asistencia,Recepción,EV-ENTR02-03;EV-ENTR03-03;EV-ENTR04-02;EV-ENTR07-07;EV-ENTR08-02,CU-11,HU-11,CA-11,Asistencia,MU-20;MU-30;MU-46;MU-47,Must,Básico,ESPECIFICADO,IMPLEMENTADO
RF-14,RF,"El sistema deberá filtrar asistencias por cliente, fecha y turno, y mostrar conteos operativos.",Operación,Art. N/A,Consultar asistencia,Personal autorizado,EV-ENTR03-01;EV-ENTR07-01;EV-ENTR08-05;EV-ENTR09-06,CU-12,HU-12,CA-12,Asistencia,MU-20;MU-46;MU-56;MU-65(F),Must,Desempeño,ESPECIFICADO,IMPLEMENTADO
RF-15,RF,"El sistema deberá registrar productos con código, nombre, precio, unidad, stock mínimo y estado.",Operación,Art. N/A,Administrar productos,Administrador,EV-ENTR01-01;EV-ENTR02-05,CU-13,HU-13,CA-13,Inventario,MU-19;MU-28;MU-44;MU-45,Must,Desempeño,ESPECIFICADO,IMPLEMENTADO
RF-16,RF,"El sistema deberá registrar entradas y ajustes con cantidad, motivo, responsable y saldo resultante.",Operación,Art. N/A,Registrar movimientos de stock,Personal autorizado,EV-ENTR01-04;EV-ENTR04-04;EV-ENTR07-03,CU-14,HU-14,CA-14,Inventario,MU-69,Must,Desempeño,ESPECIFICADO,NO_IMPLEMENTADO
RF-17,RF,"El sistema deberá registrar una venta con ítems y medio de pago, y descontar existencias en la misma transacción.",Operación,Art. N/A,Registrar venta,Recepción,EV-ENTR02-05;EV-ENTR03-01;EV-ENTR04-04;EV-ENTR07-03;EV-ENTR08-03,CU-15,HU-15,CA-15,Ventas,MU-18;MU-27;MU-42;MU-43,Must,Básico,ESPECIFICADO,NO_IMPLEMENTADO
