ID_Traza,Ley_Fuente,Articulo,Objetivo,Stakeholder,ID_Evidencia,ID_Requisito,Tipo,ID_CU,ID_Flujo,Descripcion_Flujo,ID_HU,ID_CA,Componente,ID_Mockup,MoSCoW,Estado_Cierre,Nota
TR-2B-001,LOPDP,Art. 10,Garantizar tratamiento lícito y minimización de datos,Personal autorizado,EV-ENTR02-07,RF-01,RF,CU-01,N/A,Traza histórica o plan de verificación sin flujo CU específico.,HU-01,CA-01,Seguridad,MU-01,Must,CERRADA,Traza a nivel de requisito: la evidencia sustenta el RF y el conjunto de mockups representa dicho RF.
TR-2B-002,LOPDP,Art. 20,Controlar acceso por roles y permisos,Administrador,EV-ENTR02-07,RF-02,RF,CU-02,N/A,Traza histórica o plan de verificación sin flujo CU específico.,HU-02,CA-02,Seguridad,MU-22;MU-32,Must,CERRADA,Traza a nivel de requisito: la evidencia sustenta el RF y el conjunto de mockups representa dicho RF.
TR-2B-003,LOPDP,Art. 20,Controlar acceso por roles y permisos,Administrador,EV-ENTR03-06,RF-02,RF,CU-02,N/A,Traza histórica o plan de verificación sin flujo CU específico.,HU-02,CA-02,Seguridad,MU-22;MU-32,Must,CERRADA,Traza a nivel de requisito: la evidencia sustenta el RF y el conjunto de mockups representa dicho RF.
TR-2B-004,LOPDP,Art. 20,Controlar acceso por roles y permisos,Administrador,EV-ENTR08-04,RF-02,RF,CU-02,N/A,Traza histórica o plan de verificación sin flujo CU específico.,HU-02,CA-02,Seguridad,MU-22;MU-32,Must,CERRADA,Traza a nivel de requisito: la evidencia sustenta el RF y el conjunto de mockups representa dicho RF.
TR-2B-005,LOPDP,Art. 24,Asegurar trazabilidad de eventos críticos,Administrador,EV-ENTR02-04,RF-03,RF,N/A,N/A,Traza histórica o plan de verificación sin flujo CU específico.,N/A,CA-N/A,Auditoría,MU-25,Should,CERRADA,Traza a nivel de requisito: la evidencia sustenta el RF y el conjunto de mockups representa dicho RF.
TR-2B-006,LOPDP,Art. 24,Asegurar trazabilidad de eventos críticos,Administrador,EV-ENTR02-07,RF-03,RF,N/A,N/A,Traza histórica o plan de verificación sin flujo CU específico.,N/A,CA-N/A,Auditoría,MU-25,Should,CERRADA,Traza a nivel de requisito: la evidencia sustenta el RF y el conjunto de mockups representa dicho RF.
TR-2B-007,LOPDP,Art. 24,Asegurar trazabilidad de eventos críticos,Administrador,EV-ENTR03-06,RF-03,RF,N/A,N/A,Traza histórica o plan de verificación sin flujo CU específico.,N/A,CA-N/A,Auditoría,MU-25,Should,CERRADA,Traza a nivel de requisito: la evidencia sustenta el RF y el conjunto de mockups representa dicho RF.
TR-2B-008,Civil/Operación,Art. N/A,Registrar datos mínimos de cliente,Recepción,EV-ENTR01-02,RF-04,RF,CU-03,N/A,Traza histórica o plan de verificación sin flujo CU específico.,HU-03,CA-03,Clientes,MU-12;MU-37,Must,CERRADA,Traza a nivel de requisito: la evidencia sustenta el RF y el conjunto de mockups representa dicho RF.
TR-2B-009,Civil/Operación,Art. N/A,Registrar datos mínimos de cliente,Recepción,EV-ENTR02-02,RF-04,RF,CU-03,N/A,Traza histórica o plan de verificación sin flujo CU específico.,HU-03,CA-03,Clientes,MU-12;MU-37,Must,CERRADA,Traza a nivel de requisito: la evidencia sustenta el RF y el conjunto de mockups representa dicho RF.
TR-2B-010,Civil/Operación,Art. N/A,Registrar datos mínimos de cliente,Recepción,EV-ENTR03-02,RF-04,RF,CU-03,N/A,Traza histórica o plan de verificación sin flujo CU específico.,HU-03,CA-03,Clientes,MU-12;MU-37,Must,CERRADA,Traza a nivel de requisito: la evidencia sustenta el RF y el conjunto de mockups representa dicho RF.
